DOY,Time,F1,F2,F3,F4,F5,F6,F7,F8
137,1830,0.014204,NaN,NaN,NaN,NaN,0.035362,NaN,NaN
137,1900,0.010546,NaN,NaN,NaN,NaN,0.03257,NaN,NaN
137,1930,0.012067,NaN,NaN,NaN,NaN,0.029789,NaN,NaN
137,2000,0.0084224,NaN,NaN,NaN,NaN,0.023427,NaN,NaN
137,2030,0.00822,NaN,NaN,NaN,NaN,0.027856,NaN,NaN
137,2100,0.0080175,NaN,NaN,NaN,NaN,0.028697,NaN,NaN
137,2130,0.007815,NaN,NaN,NaN,NaN,0.025923,NaN,NaN
137,2200,0.0076126,NaN,NaN,NaN,NaN,0.016028,NaN,NaN
137,2230,0.0039952,NaN,NaN,NaN,NaN,0.008045,NaN,NaN
137,2300,0.0020949,NaN,NaN,NaN,NaN,0.0036207,NaN,NaN
137,2330,2.0109e-4,NaN,NaN,NaN,NaN,0.0061419,NaN,NaN
138,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
138,30,0.003632,NaN,NaN,NaN,NaN,0.0063657,NaN,NaN
138,100,4.8263e-4,NaN,NaN,NaN,NaN,0.0023108,NaN,NaN
138,130,0.01097,NaN,NaN,NaN,NaN,0.030357,NaN,NaN
138,200,0.018164,NaN,NaN,NaN,NaN,0.088217,NaN,NaN
138,230,0.013187,NaN,NaN,NaN,NaN,0.11305,NaN,NaN
138,300,0.013431,NaN,NaN,NaN,NaN,0.11914,NaN,NaN
138,330,0.013675,NaN,NaN,NaN,NaN,0.11872,NaN,NaN
138,400,0.013919,NaN,NaN,NaN,NaN,0.10744,NaN,NaN
138,430,0.012433,NaN,NaN,NaN,NaN,0.098456,NaN,NaN
138,500,0.010952,NaN,NaN,NaN,NaN,0.09377,NaN,NaN
138,530,0.012921,NaN,NaN,NaN,NaN,0.089103,NaN,NaN
138,600,0.011438,NaN,NaN,NaN,NaN,0.086538,NaN,NaN
138,630,0.0082464,NaN,NaN,NaN,NaN,0.096628,NaN,NaN
138,700,0.017123,NaN,NaN,NaN,NaN,0.11574,NaN,NaN
138,730,0.020864,NaN,NaN,NaN,NaN,0.11753,NaN,NaN
138,800,0.019358,NaN,NaN,NaN,NaN,0.11266,NaN,NaN
138,830,0.019603,NaN,NaN,NaN,NaN,0.10780000000000001,NaN,NaN
138,900,0.016361,NaN,NaN,NaN,NaN,0.096457,NaN,NaN
138,930,0.011419,NaN,NaN,NaN,NaN,0.078964,NaN,NaN
138,1000,0.0082324,NaN,NaN,NaN,NaN,0.061941,NaN,NaN
138,1030,0.0084746,NaN,NaN,NaN,NaN,0.053333,NaN,NaN
138,1100,0.0036136,NaN,NaN,NaN,NaN,0.044823,NaN,NaN
138,1130,0,NaN,NaN,NaN,NaN,0.040328,NaN,NaN
138,1200,0,NaN,NaN,NaN,NaN,0.061896,NaN,NaN
138,1230,9.6038e-4,NaN,NaN,NaN,NaN,0.073856,NaN,NaN
138,1300,0.0045772,NaN,NaN,NaN,NaN,0.07971,NaN,NaN
138,1330,0.0099274,NaN,NaN,NaN,NaN,0.079208,NaN,NaN
138,1400,0.013605,NaN,NaN,NaN,NaN,0.076568,NaN,NaN
138,1430,0.012127,NaN,NaN,NaN,NaN,0.065488,NaN,NaN
138,1500,0.01237,NaN,NaN,NaN,NaN,0.064961,NaN,NaN
138,1530,0.0074807,NaN,NaN,NaN,NaN,0.064431,NaN,NaN
138,1600,0.004329,NaN,NaN,NaN,NaN,0.055556,NaN,NaN
138,1630,0,NaN,NaN,NaN,NaN,0.032692,NaN,NaN
138,1700,0,NaN,NaN,NaN,NaN,0.016445,NaN,NaN
138,1730,0,NaN,NaN,NaN,NaN,0.02167,NaN,NaN
138,1800,0,NaN,NaN,NaN,NaN,0.026975,NaN,NaN
138,1830,0,NaN,NaN,NaN,NaN,0.016571,NaN,NaN
138,1900,7.1788e-4,NaN,NaN,NaN,NaN,0.037834,NaN,NaN
138,1930,9.5717e-4,NaN,NaN,NaN,NaN,0.043393,NaN,NaN
138,2000,0.0028763,NaN,NaN,NaN,NaN,0.036673,NaN,NaN
138,2030,0.003116,NaN,NaN,NaN,NaN,0.023995,NaN,NaN
138,2100,0.001675,NaN,NaN,NaN,NaN,0.015474,NaN,NaN
138,2130,0.0019143,NaN,NaN,NaN,NaN,0.022786,NaN,NaN
138,2200,0.0021536,NaN,NaN,NaN,NaN,0.018194,NaN,NaN
138,2230,0.0023929,NaN,NaN,NaN,NaN,0.0096899,NaN,NaN
138,2300,0.0026322,NaN,NaN,NaN,NaN,0.005158,NaN,NaN
138,2330,0.0011945,NaN,NaN,NaN,NaN,0,NaN,NaN
139,0,0.0014333,NaN,NaN,NaN,NaN,0,NaN,NaN
139,30,0,NaN,NaN,NaN,NaN,0.0030499,NaN,NaN
139,100,2.7824e-5,NaN,NaN,NaN,NaN,0.0061117,NaN,NaN
139,130,0.0034059,NaN,NaN,NaN,NaN,0.021105,NaN,NaN
139,200,0.015339,NaN,NaN,NaN,NaN,0.030347,NaN,NaN
139,230,0.011937,NaN,NaN,NaN,NaN,0.027409,NaN,NaN
139,300,0.013677,NaN,NaN,NaN,NaN,0.026514,NaN,NaN
139,330,0.013706,NaN,NaN,NaN,NaN,0.029677,NaN,NaN
139,400,0.013734,NaN,NaN,NaN,NaN,0.034901,NaN,NaN
139,430,0.01548,NaN,NaN,NaN,NaN,0.038099,NaN,NaN
139,500,0.01379,NaN,NaN,NaN,NaN,0.033078,NaN,NaN
139,530,0.012106,NaN,NaN,NaN,NaN,0.032173,NaN,NaN
139,600,0.013847,NaN,NaN,NaN,NaN,0.035346,NaN,NaN
139,630,0.013875,NaN,NaN,NaN,NaN,0.030371,NaN,NaN
139,700,0.013903,NaN,NaN,NaN,NaN,0.025455,NaN,NaN
139,730,0.012218,NaN,NaN,NaN,NaN,0.022581,NaN,NaN
139,800,0.0088384,NaN,NaN,NaN,NaN,0.019729,NaN,NaN
139,830,0.0088664,NaN,NaN,NaN,NaN,0.03083,NaN,NaN
139,900,0.010596,NaN,NaN,NaN,NaN,0.029937,NaN,NaN
139,930,0.0089226,NaN,NaN,NaN,NaN,0.021086,NaN,NaN
139,1000,0.0072549,NaN,NaN,NaN,NaN,0.014348,NaN,NaN
139,1030,0.0072829,NaN,NaN,NaN,NaN,0.0077127,NaN,NaN
139,1100,0.0039363,NaN,NaN,NaN,NaN,0.0011776,NaN,NaN
139,1130,6.1213e-4,NaN,NaN,NaN,NaN,0,NaN,NaN
